iso,raw,level_raw,volts,percent,charging,flags,extra
2026-09-18T12:49:18,03 10 40 01 08,64,4.00,90,0,1,8
2026-09-18T12:49:24,03 10 40 01 08,64,4.00,90,0,1,8
2026-09-18T12:49:30,03 10 40 01 08,64,4.00,90,0,1,8
2026-09-18T12:49:36,03 10 40 01 08,64,4.00,90,0,1,8
2026-09-18T12:49:42,03 10 40 01 08,64,4.00,90,0,1,8
